departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Johannesburg,28.41,-25.566,South Africa,Cape Town,19.002,-33.942,South Africa,16,1299
Cape Town,19.002,-33.942,South Africa,Johannesburg,28.41,-25.566,South Africa,14,1299
Kigali,30.232,-1.948,Rwanda,Entebbe,32.739,0.07,Uganda,14,357
Kigali,30.232,-1.948,Rwanda,Nairobi,37.545,-0.866,Kenya,10,821
Bujumbura,29.53,-2.874,Burundi,Nairobi,37.545,-0.866,Kenya,9,918
Ouagadougou,-1.188,12.588,Burkina Faso,Cotonou,2.64,6.595,Benin,9,787
Cotonou,2.64,6.595,Benin,Ouagadougou,-1.188,12.588,Burkina Faso,9,787
London,-0.103,51.795,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,8,3854
Douala,10.199,4.01,Cameroon,Bangui,18.864,4.664,Central African Republic,8,963
Bangui,18.864,4.664,Central African Republic,Douala,10.199,4.01,Cameroon,8,963
Dar Es Salaam,39.337,-6.797,Tanzania,Nairobi,37.545,-0.866,Kenya,7,688
Monrovia,-9.938,6.389,Liberia,Accra,0.388,6.008,Ghana,7,1142
Accra,0.388,6.008,Ghana,Monrovia,-9.938,6.389,Liberia,7,1142
Kilimanjaro,37.124,-3.05,Tanzania,Mombasa,39.99,-3.392,Kenya,7,320
Entebbe,32.739,0.07,Uganda,Kigali,30.232,-1.948,Rwanda,7,357
Johannesburg,28.41,-25.566,South Africa,Durban,31.584,-29.951,South Africa,7,578
Durban,31.584,-29.951,South Africa,Johannesburg,28.41,-25.566,South Africa,7,578
Kinshasa,15.74,-3.977,Congo (Kinshasa),Douala,10.199,4.01,Cameroon,7,1080
Conakry,-13.354,9.961,Guinea,Banjul,-16.421,13.563,Gambia,7,521
Brussels,4.807,51.502,Belgium,Luanda,13.385,-8.764,Angola,7,6751
Brussels,4.807,51.502,Belgium,Kigali,30.232,-1.948,Rwanda,7,6409
Banjul,-16.421,13.563,Gambia,Conakry,-13.354,9.961,Guinea,7,521
Abidjan,-3.878,5.435,Cote d'Ivoire,Lome,1.424,6.276,Togo,7,593
Port Hartcourt,7.582,5.025,Nigeria,Abuja,7.438,9.011,Nigeria,7,443
Abuja,7.438,9.011,Nigeria,Port Hartcourt,7.582,5.025,Nigeria,7,443
Zanzibar,39.374,-5.704,Tanzania,Dar Es Salaam,39.337,-6.797,Tanzania,7,121
Nairobi,37.545,-0.866,Kenya,Dar Es Salaam,39.337,-6.797,Tanzania,7,688
Ouagadougou,-1.188,12.588,Burkina Faso,Niamey,2.306,13.802,Niger,7,401
Niamey,2.306,13.802,Niger,Ouagadougou,-1.188,12.588,Burkina Faso,7,401
Douala,10.199,4.01,Cameroon,Cotonou,2.64,6.595,Benin,7,884
Cotonou,2.64,6.595,Benin,Douala,10.199,4.01,Cameroon,7,884
Freetown,-12.66,9.027,Sierra Leone,Banjul,-16.421,13.563,Gambia,6,649
Banjul,-16.421,13.563,Gambia,Freetown,-12.66,9.027,Sierra Leone,6,649
Accra,0.388,6.008,Ghana,Lome,1.424,6.276,Togo,6,118
Entebbe,32.739,0.07,Uganda,Addis Ababa,39.332,9.629,Ethiopia,6,1289
Addis Ababa,39.332,9.629,Ethiopia,Entebbe,32.739,0.07,Uganda,6,1289
Durban,31.584,-29.951,South Africa,Cape Town,19.002,-33.942,South Africa,6,1266
Cape Town,19.002,-33.942,South Africa,Durban,31.584,-29.951,South Africa,6,1266
Monrovia,-9.938,6.389,Liberia,Abidjan,-3.878,5.435,Cote d'Ivoire,6,678
Brussels,4.807,51.502,Belgium,Monrovia,-9.938,6.389,Liberia,6,5197
Brussels,4.807,51.502,Belgium,Ouagadougou,-1.188,12.588,Burkina Faso,6,4360
Brussels,4.807,51.502,Belgium,Douala,10.199,4.01,Cameroon,6,5304
Brussels,4.807,51.502,Belgium,Bujumbura,29.53,-2.874,Burundi,6,6482
Brussels,4.807,51.502,Belgium,Banjul,-16.421,13.563,Gambia,6,4627
Brussels,4.807,51.502,Belgium,Abidjan,-3.878,5.435,Cote d'Ivoire,6,5184
Nairobi,37.545,-0.866,Kenya,Mombasa,39.99,-3.392,Kenya,6,390
Dar Es Salaam,39.337,-6.797,Tanzania,Zanzibar,39.374,-5.704,Tanzania,6,121
Manchester,-1.792,53.589,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,5,4049
Jeddah,39.26,22.132,Saudi Arabia,Khartoum,32.921,15.982,Sudan,5,954
Douala,10.199,4.01,Cameroon,Libreville,9.687,0.764,Gabon,5,365
Jeddah,39.26,22.132,Saudi Arabia,Alexandria,30.16,31.529,Egypt,5,1379
Brussels,4.807,51.502,Belgium,Yaounde,11.922,4.204,Cameroon,5,5300
Bamako,-7.917,12.889,Mali,Accra,0.388,6.008,Ghana,5,1189
Accra,0.388,6.008,Ghana,Bamako,-7.917,12.889,Mali,5,1189
Abidjan,-3.878,5.435,Cote d'Ivoire,Monrovia,-9.938,6.389,Liberia,5,678
Mombasa,39.99,-3.392,Kenya,Kilimanjaro,37.124,-3.05,Tanzania,5,320
Kilimanjaro,37.124,-3.05,Tanzania,Addis Ababa,39.332,9.629,Ethiopia,5,1430
Addis Ababa,39.332,9.629,Ethiopia,Kilimanjaro,37.124,-3.05,Tanzania,5,1430
Yaounde,11.922,4.204,Cameroon,Douala,10.199,4.01,Cameroon,5,192
Douala,10.199,4.01,Cameroon,Yaounde,11.922,4.204,Cameroon,5,192
Lusaka,28.754,-14.885,Zambia,Harare,31.154,-17.887,Zimbabwe,5,420
Khartoum,32.921,15.982,Sudan,Addis Ababa,39.332,9.629,Ethiopia,5,990
Kigali,30.232,-1.948,Rwanda,Bujumbura,29.53,-2.874,Burundi,5,129
Bujumbura,29.53,-2.874,Burundi,Kigali,30.232,-1.948,Rwanda,5,129
Addis Ababa,39.332,9.629,Ethiopia,Khartoum,32.921,15.982,Sudan,5,990
Luxor,33.177,26.118,Egypt,Hurghada,34.332,27.297,Egypt,5,174
Mombasa,39.99,-3.392,Kenya,Nairobi,37.545,-0.866,Kenya,5,390
Juba,32.001,5.453,South Sudan,Nairobi,37.545,-0.866,Kenya,5,934
Libreville,9.687,0.764,Gabon,Cotonou,2.64,6.595,Benin,5,1015
Dakar,-17.151,15.232,Senegal,Bamako,-7.917,12.889,Mali,5,1029
Cotonou,2.64,6.595,Benin,Libreville,9.687,0.764,Gabon,5,1015
Bamako,-7.917,12.889,Mali,Dakar,-17.151,15.232,Senegal,5,1029
Nairobi,37.545,-0.866,Kenya,Addis Ababa,39.332,9.629,Ethiopia,4,1183
Addis Ababa,39.332,9.629,Ethiopia,Nairobi,37.545,-0.866,Kenya,4,1183
Riyadh,47.164,25.596,Saudi Arabia,Alexandria,30.16,31.529,Egypt,4,1784
Kuwait,48.614,29.377,Kuwait,Sohag,32.238,26.568,Egypt,4,1636
Kuwait,48.614,29.377,Kuwait,Alexandria,30.16,31.529,Egypt,4,1782
Harare,31.154,-17.887,Zimbabwe,Lusaka,28.754,-14.885,Zambia,4,420
Bamako,-7.917,12.889,Mali,Abidjan,-3.878,5.435,Cote d'Ivoire,4,939
Abidjan,-3.878,5.435,Cote d'Ivoire,Bamako,-7.917,12.889,Mali,4,939
Abuja,7.438,9.011,Nigeria,Kano,8.874,12.079,Nigeria,4,375
Frankfurt,8.905,50.044,Germany,Abuja,7.438,9.011,Nigeria,4,4564
Brussels,4.807,51.502,Belgium,Bamako,-7.917,12.889,Mali,4,4443
Brussels,4.807,51.502,Belgium,Accra,0.388,6.008,Ghana,4,5075
Malabo,9.181,4.258,Equatorial Guinea,Douala,10.199,4.01,Cameroon,4,116
Douala,10.199,4.01,Cameroon,Malabo,9.181,4.258,Equatorial Guinea,4,116
Mombasa,39.99,-3.392,Kenya,Addis Ababa,39.332,9.629,Ethiopia,4,1449
London,-0.103,51.795,United Kingdom,Luxor,33.177,26.118,Egypt,4,3990
Port Elizabeth,26.028,-33.975,South Africa,Cape Town,19.002,-33.942,South Africa,4,647
Maputo,32.954,-25.869,Mozambique,Johannesburg,28.41,-25.566,South Africa,4,456
London,-0.103,51.795,United Kingdom,Johannesburg,28.41,-25.566,South Africa,4,9040
London,-0.103,51.795,United Kingdom,Cape Town,19.002,-33.942,South Africa,4,9713
London,-0.103,51.795,United Kingdom,Marrakech,-7.394,32.011,Morocco,4,2278
Johannesburg,28.41,-25.566,South Africa,Port Elizabeth,26.028,-33.975,South Africa,4,962
Johannesburg,28.41,-25.566,South Africa,Maputo,32.954,-25.869,Mozambique,4,456
Johannesburg,28.41,-25.566,South Africa,George,22.631,-33.343,South Africa,4,1029
George,22.631,-33.343,South Africa,Johannesburg,28.41,-25.566,South Africa,4,1029
Cape Town,19.002,-33.942,South Africa,Port Elizabeth,26.028,-33.975,South Africa,4,647
Lagos,3.535,6.962,Nigeria,Accra,0.388,6.008,Ghana,4,363
Abu Dhabi,55.085,24.721,United Arab Emirates,Johannesburg,28.41,-25.566,South Africa,4,6284
Paris,2.916,49.021,France,Oran,-0.369,36.039,Algeria,4,1468
Nairobi,37.545,-0.866,Kenya,Kigali,30.232,-1.948,Rwanda,4,821
Lusaka,28.754,-14.885,Zambia,Lilongwe,34.301,-13.649,Malawi,4,613
Lilongwe,34.301,-13.649,Malawi,Lusaka,28.754,-14.885,Zambia,4,613
Djibouti,43.265,11.912,Djibouti,Addis Ababa,39.332,9.629,Ethiopia,4,498
Dzaoudzi,45.468,-12.675,Mayotte,Moroni,43.453,-11.223,Comoros,4,272
Paris,2.916,49.021,France,Algier,3.359,37.151,Algeria,4,1320
Port Hartcourt,7.582,5.025,Nigeria,Lagos,3.535,6.962,Nigeria,4,496
Lagos,3.535,6.962,Nigeria,Port Hartcourt,7.582,5.025,Nigeria,4,496
Paris,2.916,49.021,France,Marrakech,-7.394,32.011,Morocco,4,2078
Paris,2.916,49.021,France,Casablanca,-7.317,33.612,Morocco,4,1910
Paris,2.916,49.021,France,Agadir,-9.244,30.635,Morocco,4,2286
Boa Vista,-22.815,16.227,Cape Verde,Amilcar Cabral,-22.916,17.235,Cape Verde,4,112
Zanzibar,39.374,-5.704,Tanzania,Mombasa,39.99,-3.392,Kenya,4,265
Nairobi,37.545,-0.866,Kenya,Entebbe,32.739,0.07,Uganda,4,544
Mombasa,39.99,-3.392,Kenya,Zanzibar,39.374,-5.704,Tanzania,4,265
Hurghada,34.332,27.297,Egypt,Sharm El Sheikh,34.658,28.628,Egypt,4,151
Lyon,5.151,46.21,France,Casablanca,-7.317,33.612,Morocco,4,1754
Barcelona,2.13,41.495,Spain,Tanger,-5.862,36.211,Morocco,4,907
Ouagadougou,-1.188,12.588,Burkina Faso,Bamako,-7.917,12.889,Mali,4,730
Paris,2.916,49.021,France,Djerba,11.292,34.458,Tunisia,3,1759
London,-0.103,51.795,United Kingdom,Hurghada,34.332,27.297,Egypt,3,3952
East Midlands,-0.881,53.385,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,3,3986
Riyadh,47.164,25.596,Saudi Arabia,Khartoum,32.921,15.982,Sudan,3,1823
Libreville,9.687,0.764,Gabon,Douala,10.199,4.01,Cameroon,3,365
Brussels,4.807,51.502,Belgium,Cairo,31.675,30.203,Egypt,3,3237
Bangkok,101.245,14.135,Thailand,Cairo,31.675,30.203,Egypt,3,7278
St.-denis,55.85,-20.812,Reunion,Plaisance,58.139,-20.051,Mauritius,3,253
Plaisance,58.139,-20.051,Mauritius,St.-pierre,55.705,-20.867,Reunion,3,269
Plaisance,58.139,-20.051,Mauritius,St.-denis,55.85,-20.812,Reunion,3,253
Dzaoudzi,45.468,-12.675,Mayotte,Antananarivo,47.798,-18.662,Madagascar,3,710
Zurich,8.915,47.774,Switzerland,Douala,10.199,4.01,Cameroon,3,4867
Lagos,3.535,6.962,Nigeria,Cotonou,2.64,6.595,Benin,3,106
Khartoum,32.921,15.982,Sudan,Cairo,31.675,30.203,Egypt,3,1586
Cairo,31.675,30.203,Egypt,Khartoum,32.921,15.982,Sudan,3,1586
Kilimanjaro,37.124,-3.05,Tanzania,Dar Es Salaam,39.337,-6.797,Tanzania,3,483
Kuwait,48.614,29.377,Kuwait,Cairo,31.675,30.203,Egypt,3,1635
Frankfurt,8.905,50.044,Germany,Cairo,31.675,30.203,Egypt,3,2911
Madrid,-3.278,40.822,Spain,Cairo,31.675,30.203,Egypt,3,3350
Sharm El Sheikh,34.658,28.628,Egypt,Hurghada,34.332,27.297,Egypt,3,151
Nairobi,37.545,-0.866,Kenya,Bujumbura,29.53,-2.874,Burundi,3,918
Lome,1.424,6.276,Togo,Bamako,-7.917,12.889,Mali,3,1260
Johannesburg,28.41,-25.566,South Africa,Addis Ababa,39.332,9.629,Ethiopia,3,4088
Brazzaville,15.421,-3.753,Congo (Kinshasa),Libreville,9.687,0.764,Gabon,3,811
Bamako,-7.917,12.889,Mali,Lome,1.424,6.276,Togo,3,1260
Addis Ababa,39.332,9.629,Ethiopia,Johannesburg,28.41,-25.566,South Africa,3,4088
Addis Ababa,39.332,9.629,Ethiopia,Djibouti,43.265,11.912,Djibouti,3,498
Dubai,55.607,25.421,United Arab Emirates,Nairobi,37.545,-0.866,Kenya,3,3509
Dubai,55.607,25.421,United Arab Emirates,Khartoum,32.921,15.982,Sudan,3,2577
Dubai,55.607,25.421,United Arab Emirates,Cairo,31.675,30.203,Egypt,3,2408
Dubai,55.607,25.421,United Arab Emirates,Addis Ababa,39.332,9.629,Ethiopia,3,2456
Accra,0.388,6.008,Ghana,Abidjan,-3.878,5.435,Cote d'Ivoire,3,476
Abidjan,-3.878,5.435,Cote d'Ivoire,Accra,0.388,6.008,Ghana,3,476
Kuwait,48.614,29.377,Kuwait,Asyut,31.019,27.077,Egypt,3,1740
Dubai,55.607,25.421,United Arab Emirates,Luanda,13.385,-8.764,Angola,3,5942
Bissau,-15.423,12.491,Guinea-Bissau,Dakar,-17.151,15.232,Senegal,3,357
Dakar,-17.151,15.232,Senegal,Bissau,-15.423,12.491,Guinea-Bissau,3,357
Dakar,-17.151,15.232,Senegal,Banjul,-16.421,13.563,Gambia,3,201
Cotonou,2.64,6.595,Benin,Abidjan,-3.878,5.435,Cote d'Ivoire,3,732
Conakry,-13.354,9.961,Guinea,Abidjan,-3.878,5.435,Cote d'Ivoire,3,1158
